iter	Passed	Remaining
0	217	21528
1	270	13235
2	327	10602
3	374	8985
4	401	7630
5	439	6891
6	538	7153
7	671	7718
8	736	7443
9	886	7976
10	912	7382
11	946	6943
12	968	6481
13	1012	6219
14	1067	6051
15	1121	5886
16	1178	5756
17	1241	5653
18	1310	5587
19	1383	5533
20	1444	5434
21	1481	5252
22	1518	5084
23	1550	4908
24	1591	4773
25	1621	4615
26	1653	4471
27	1684	4330
28	1718	4208
29	1759	4104
30	1785	3973
31	1834	3897
32	1906	3871
33	1948	3782
34	1984	3686
35	2020	3591
36	2066	3518
37	2101	3428
38	2132	3335
39	2164	3247
40	2199	3164
41	2231	3082
42	2270	3009
43	2317	2949
44	2359	2884
45	2392	2808
46	2413	2721
47	2448	2652
48	2482	2583
49	2515	2515
50	2548	2448
51	2579	2381
52	2607	2312
53	2677	2280
54	2728	2232
55	2769	2175
56	2809	2119
57	2841	2057
58	2869	1993
59	2896	1930
60	2923	1868
61	2952	1809
62	2982	1751
63	3009	1692
64	3038	1636
65	3067	1580
66	3096	1525
67	3124	1470
68	3153	1416
69	3186	1365
70	3217	1314
71	3245	1262
72	3273	1210
73	3302	1160
74	3330	1110
75	3358	1060
76	3386	1011
77	3415	963
78	3444	915
79	3483	870
80	3514	824
81	3542	777
82	3572	731
83	3610	687
84	3638	642
85	3669	597
86	3696	552
87	3725	508
88	3754	464
89	3785	420
90	3815	377
91	3846	334
92	3874	291
93	3902	249
94	3929	206
95	3962	165
96	3989	123
97	4015	81
98	4042	40
99	4070	0
